City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
491,beloha,MG,-25.1667,45.05,74.44,72,71,5.91,broken clouds,0.0,0.0
492,oranjemund,NA,-28.55,16.4333,59.22,89,98,3.96,overcast clouds,0.0,0.0
493,waipawa,NZ,-41.4122,175.5153,53.6,60,27,9.66,scattered clouds,0.0,0.0
494,monrovia,LR,6.3005,-10.7969,79.63,87,55,11.86,light rain,0.32,0.0
495,chlorakas,CY,34.8042,32.4083,50.88,58,20,4.61,few clouds,0.0,0.0
496,gwadar,PK,25.1216,62.3254,78.82,79,1,5.84,clear sky,0.0,0.0
497,calama,CL,-22.4667,-68.9333,68.49,7,0,20.71,clear sky,0.0,0.0
498,dongsheng,CN,39.8161,109.9776,34.97,34,100,9.57,overcast clouds,0.0,0.0
499,saint george,US,37.1041,-113.5841,63.63,8,0,25.32,clear sky,0.0,0.0
500,vertientes,CU,21.2594,-78.1464,84.81,66,96,2.53,overcast clouds,0.0,0.0
501,hidalgo,MX,20.5,-99.0,84.81,17,100,8.28,overcast clouds,0.0,0.0
502,victoria,HK,22.2855,114.1577,75.33,80,10,10.0,clear sky,0.0,0.0
503,bone,DE,51.9669,12.1396,53.82,76,100,2.98,overcast clouds,0.0,0.0
504,natal,BR,-5.795,-35.2094,83.05,83,20,10.36,few clouds,0.0,0.0
505,qasigiannguit,GL,68.8193,-51.1922,21.45,96,99,6.73,overcast clouds,0.0,0.0
506,zaysan,KZ,47.4667,84.8667,44.74,39,5,2.75,clear sky,0.0,0.0
507,karakol,KG,42.4907,78.3936,48.13,52,68,4.32,broken clouds,0.0,0.0
508,brae,GB,60.3964,-1.353,42.67,74,40,13.02,scattered clouds,0.0,0.0
509,maniitsoq,GL,65.4167,-52.9,21.97,85,18,16.6,few clouds,0.0,0.0
510,sakaiminato,JP,35.55,133.2333,57.13,100,75,17.27,light rain,0.36,0.0
511,bambanglipuro,ID,-7.95,110.2833,75.15,88,56,4.23,broken clouds,0.0,0.0
512,marquette,US,46.5333,-87.6335,36.84,97,100,7.07,light snow,0.0,0.31
513,galle,LK,6.0367,80.217,80.1,81,92,7.85,overcast clouds,0.0,0.0
514,rio grande,BR,-32.035,-52.0986,68.11,61,91,9.8,overcast clouds,0.0,0.0
515,bongandanga,CD,1.5,21.05,72.5,98,100,2.71,light rain,0.35,0.0
516,san pedro,PH,14.35,121.0167,79.83,89,20,4.61,few clouds,0.0,0.0
517,kenai,US,60.5544,-151.2583,45.03,76,0,10.36,clear sky,0.0,0.0
518,tautira,PF,-17.7333,-149.15,81.41,74,37,19.44,light rain,0.32,0.0
519,weligama,LK,5.9667,80.4167,78.53,86,95,6.58,overcast clouds,0.0,0.0
520,san patricio,US,28.017,-97.5169,97.16,34,27,12.86,scattered clouds,0.0,0.0
521,arys,KZ,42.4252,68.795,60.3,64,0,4.47,clear sky,0.0,0.0
